,name,hashes,best_hashes,lineage
13,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella,5167000,5167000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'), LineagePair(rank='family', name='Alcaligenaceae'), LineagePair(rank='genus', name='Bordetella'))"
14,Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus,5053000,5053000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chloroflexi'), LineagePair(rank='class', name='Chloroflexia'), LineagePair(rank='order', name='Chloroflexales'), LineagePair(rank='family', name='Chloroflexaceae'), LineagePair(rank='genus', name='Chloroflexus'))"
15,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;Leptothrix,4754000,4754000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'), LineagePair(rank='family', name=''), LineagePair(rank='genus', name='Leptothrix'))"
16,Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas,4629000,4629000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Gemmatimonadetes'), LineagePair(rank='class', name='Gemmatimonadetes'), LineagePair(rank='order', name='Gemmatimonadales'), LineagePair(rank='family', name='Gemmatimonadaceae'), LineagePair(rank='genus', name='Gemmatimonas'))"
17,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ruegeria,4534000,4534000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Alphaproteobacteria'), LineagePair(rank='order', name='Rhodobacterales'), LineagePair(rank='family', name='Rhodobacteraceae'), LineagePair(rank='genus', name='Ruegeria'))"
18,Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae;Thermotoga,4257000,1851000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Thermotogae'), LineagePair(rank='class', name='Thermotogae'), LineagePair(rank='order', name='Thermotogales'), LineagePair(rank='family', name='Thermotogaceae'), LineagePair(rank='genus', name='Thermotoga'))"
19,Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium,4167000,4167000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Acidobacteria'), LineagePair(rank='class', name='Acidobacteriia'), LineagePair(rank='order', name='Acidobacteriales'), LineagePair(rank='family', name='Acidobacteriaceae'), LineagePair(rank='genus', name='Acidobacterium'))"
20,Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloferax,3934000,3934000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Halobacteria'), LineagePair(rank='order', name='Haloferacales'), LineagePair(rank='family', name='Haloferacaceae'), LineagePair(rank='genus', name='Haloferax'))"
21,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter,3775000,3775000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Deltaproteobacteria'), LineagePair(rank='order', name='Desulfuromonadales'), LineagePair(rank='family', name='Geobacteraceae'), LineagePair(rank='genus', name='Geobacter'))"
22,Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;Hungateiclostridium,3655000,3655000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Clostridiales'), LineagePair(rank='family', name='Hungateiclostridiaceae'), LineagePair(rank='genus', name='Hungateiclostridium'))"
